Subject, $9/$1, $8/$2, $7/$3, $6/$4, $5/$5
6, 1.0, 0.9259259259259259, 1.0, 0.0, 0.0
9, 0.9629629629629629, 0.8518518518518519, 0.07407407407407407, 0.0, 0.0
10, 1.0, 0.96, 0.11538461538461539, 0.038461538461538464, 0.0
11, 0.0, 0.07692307692307693, 0.0, 0.0, 0.5
13, 1.0, 0.9629629629629629, 0.07407407407407407, 0.0, 0.037037037037037035
14, 0.8888888888888888, 0.6153846153846154, 0.4074074074074074, 0.07407407407407407, 0.0
15, 1.0, 1.0, 0.7777777777777778, 0.0, 0.0
16, 1.0, 1.0, 0.07692307692307693, 0.0, 0.07407407407407407
19, 1.0, 1.0, 1.0, 0.037037037037037035, 0.07407407407407407
20, 1.0, 0.9583333333333334, 0.0, 0.0, 0.0
21, 0.88, 0.8695652173913043, 0.0, 0.045454545454545456, 0.041666666666666664
23, 0.96, 0.8571428571428571, 0.28, 0.0, 0.0