Offer_1_Neutral, Offer_1_Low, Offer_1_High, Offer_2_Neutral, Offer_2_Low, Offer_2_High, Offer_3_Neutral, Offer_3_Low, Offer_3_High, Offer_4_Neutral, Offer_4_Low, Offer_4_High, Offer_5_Neutral, Offer_5_Low, Offer_5_high 
1.0, 1.0, 1.0, 1.0, 0.8888888888888888, 0.8888888888888888, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.8888888888888888, 1.0, 1.0, 0.8888888888888888, 0.6666666666666666, 1.0, 0.1111111111111111, 0.0, 0.1111111111111111, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
1.0, 1.0, 1.0, 1.0, 1.0, 0.8888888888888888, 0.125, 0.1111111111111111, 0.1111111111111111, 0.0, 0.1111111111111111, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0, 0.1111111111111111, 0.125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6666666666666666, 0.3333333333333333, 0.5
1.0, 1.0, 1.0, 0.8888888888888888, 1.0, 1.0, 0.0, 0.2222222222222222, 0.0, 0.0, 0.0, 0.0, 0.1111111111111111, 0.0, 0.0
0.8888888888888888, 1.0, 0.7777777777777778, 0.75, 0.6666666666666666, 0.4444444444444444, 0.6666666666666666, 0.4444444444444444, 0.1111111111111111, 0.0, 0.2222222222222222, 0.0, 0.0, 0.0, 0.0
1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.6666666666666666, 0.7777777777777778, 0.8888888888888888, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.1111111111111111, 0.1111111111111111, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1111111111111111, 0.1111111111111111
1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.1111111111111111, 0.0, 0.0, 0.1111111111111111, 0.1111111111111111
1.0, 1.0, 1.0, 0.8888888888888888, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.875, 0.8888888888888888, 0.875, 0.8571428571428571, 0.7142857142857143, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14285714285714285, 0.125, 0.0, 0.0
0.8888888888888888, 1.0, 1.0, 1.0, 0.75, 0.8333333333333334, 0.5555555555555556, 0.14285714285714285, 0.1111111111111111, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0