tACS_rTPJ_Neutral, tACS_rTPJ_Low, tACS_rTPJ_High, tACS_rDLPFC_Neutral, tACS_rDLPFC_Low, tACS_rDLPFC_High, tACS_Sync_Neutral, tACS_Sync_Low, tACS_Sync_High
0.6, 0.6, 0.6, 0.5714285714285714, 0.6, 0.6, 0.6, 0.5333333333333333, 0.5333333333333333
0.4, 0.4, 0.4, 0.4, 0.26666666666666666, 0.4, 0.3333333333333333, 0.4666666666666667, 0.4666666666666667
0.5, 0.42857142857142855, 0.5, 0.4, 0.35714285714285715, 0.3333333333333333, 0.4, 0.4, 0.4
0.06666666666666667, 0.07142857142857142, 0.25, 0.13333333333333333, 0.0, 0.0, 0.21428571428571427, 0.14285714285714285, 0.14285714285714285
0.42857142857142855, 0.4, 0.4, 0.4666666666666667, 0.5333333333333333, 0.4, 0.35714285714285715, 0.4, 0.4
0.3333333333333333, 0.4666666666666667, 0.2, 0.4666666666666667, 0.4, 0.4666666666666667, 0.5714285714285714, 0.13333333333333333, 0.13333333333333333
0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.4, 0.5714285714285714, 0.5714285714285714
0.4, 0.4, 0.46153846153846156, 0.42857142857142855, 0.4666666666666667, 0.4, 0.4, 0.4, 0.4
0.6, 0.6666666666666666, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6666666666666666, 0.6666666666666666
0.35714285714285715, 0.4, 0.35714285714285715, 0.4, 0.4, 0.4, 0.42857142857142855, 0.3333333333333333, 0.3333333333333333
0.3333333333333333, 0.3333333333333333, 0.4666666666666667, 0.4, 0.26666666666666666, 0.4, 0.375, 0.4, 0.4
0.5384615384615384, 0.25, 0.42857142857142855, 0.5384615384615384, 0.4166666666666667, 0.35714285714285715, 0.42857142857142855, 0.3076923076923077, 0.3076923076923077