Subject, 0-33%, 34-66%, 67-99%
6, 0.4915254237288136, 0.5166666666666667, 0.55
7, 0.4915254237288136, 0.5166666666666667, 0.55
9, 0.4406779661016949, 0.4918032786885246, 0.5084745762711864
10, 0.4166666666666667, 0.5166666666666667, 0.559322033898305
11, 0.5084745762711864, 0.5254237288135594, 0.5166666666666667
12, 0.4727272727272727, 0.5166666666666667, 0.5
13, 0.42857142857142855, 0.5263157894736842, 0.6296296296296297
14, 0.4827586206896552, 0.5087719298245614, 0.49122807017543857
19, 0.4915254237288136, 0.4915254237288136, 0.5
20, 0.5, 0.5, 0.5
21, 0.5714285714285714, 0.5254237288135594, 0.5087719298245614
23, 0.1, 0.48333333333333334, 0.8833333333333333