tACS_rTPJ_Baseline_Person, tACS_rTPJ_Baseline_PC, tACS_rTPJ_Punishment_Person, tACS_rTPJ_Punishment_PC, tACS_rDLPFC_Baseline_Person, tACS_rDLPFC_Baseline_PC, tACS_rDLPFC_Punishment_Person, tACS_rDLPFC_Punishment_PC, tACS_Sync_Baseline_Person, tACS_Sync_Baseline_PC, tACS_Sync_Punishment_Person, tACS_Sync_Punishment_PC, tRNS_rTPJ_Baseline_Person, tRNS_rTPJ_Baseline_PC, tRNS_rTPJ_Punishment_Person, tRNS_rTPJ_Punishment_PC, tRNS_rDLPFC_Baseline_Person, tRNS_rDLPFC_Baseline_PC, tRNS_rDLPFC_Punishment_Person, tRNS_rDLPFC_Punishment_PC, Sham_Baseline_Person, Sham_Baseline_PC, Sham_Punishment_Person, Sham_Punishment_PC
25.0, 30.0, 78.33333333333333, 92.0, 21.666666666666668, 20.0, 82.0, 84.0, 35.0, 16.0, 82.0, 84.0, 8.333333333333334, 10.0, 83.33333333333333, 90.0, 50.0, 36.0, 84.0, 84.0, 4.0, 30.0, 86.0, 84.0
10.0, 0.0, 50.0, 35.0, 2.0, 12.0, 52.0, 46.0, 6.666666666666667, 0.0, 34.0, 38.0, 6.0, 5.0, 44.0, 40.0, 30.0, 22.0, 57.5, 50.0, 5.0, 0.0, 41.666666666666664, 38.0
50.0, 50.0, 64.0, 52.5, 26.0, 38.0, 60.0, 58.0, 32.0, 35.0, 52.0, 50.0, 26.666666666666668, 27.5, 50.0, 50.0, 35.0, 36.0, 44.0, 50.0, 26.0, 32.5, 60.0, 62.0
17.5, 18.0, 48.0, 48.0, 20.0, 6.0, 50.0, 48.0, 28.0, 5.0, 50.0, 40.0, 20.0, 8.0, 50.0, 42.0, 32.0, 10.0, 46.0, 38.333333333333336, 26.0, 3.3333333333333335, 52.0, 45.0
50.0, 54.0, 60.0, 62.0, 62.5, 54.0, 52.0, 46.666666666666664, 60.0, 58.333333333333336, 55.0, 50.0, 63.333333333333336, 73.33333333333333, 56.0, 46.666666666666664, 67.5, 60.0, 55.0, 62.0, 61.666666666666664, 62.0, 67.5, 62.0
40.0, 0.0, 62.0, 100.0, 40.0, 8.0, 50.0, 50.0, 40.0, 0.0, 50.0, 50.0, 40.0, 0.0, 50.0, 50.0, 42.0, 8.0, 50.0, 50.0, 40.0, 0.0, 50.0, 50.0
45.0, 10.0, 66.0, 70.0, 24.0, 10.0, 73.33333333333333, 82.0, 20.0, 34.0, 67.5, 74.0, 28.0, 13.333333333333334, 72.5, 68.0, 50.0, 12.0, 67.5, 66.66666666666667, 27.5, 10.0, 76.66666666666667, 73.33333333333333
10.0, 0.0, 72.5, 56.0, 14.0, 8.0, 62.5, 50.0, 17.5, 14.0, 62.0, 62.5, 18.0, 0.0, 72.0, 50.0, 14.0, 0.0, 64.0, 50.0, 22.0, 0.0, 65.0, 55.0
16.666666666666668, 13.333333333333334, 76.0, 77.5, 20.0, 0.0, 85.0, 70.0, 10.0, 10.0, 60.0, 80.0, 15.0, 40.0, 76.66666666666667, nan, 35.0, 25.0, 82.5, 80.0, nan, 10.0, 85.0, 75.0
88.0, 88.0, 84.0, 86.0, 28.0, 38.0, 78.0, 84.0, 90.0, 90.0, 90.0, 90.0, 62.0, 52.0, 90.0, 92.0, 28.0, 32.0, 78.0, 80.0, 64.0, 80.0, 88.0, 90.0
46.0, 47.5, 60.0, 58.0, 45.0, 50.0, 52.0, 64.0, 50.0, 50.0, 58.0, 60.0, 50.0, 44.0, 54.0, 58.0, 50.0, 50.0, 60.0, 60.0, 50.0, 50.0, 60.0, 58.0
4.0, 4.0, 30.0, 40.0, 20.0, 16.666666666666668, 40.0, 22.0, 0.0, 0.0, 32.0, 36.666666666666664, 12.0, 2.5, 36.0, 28.0, 0.0, 0.0, 32.5, 25.0, 0.0, 20.0, 44.0, 44.0
8.0, 18.0, 48.0, 40.0, 14.0, 4.0, 60.0, 52.0, 20.0, 4.0, 54.0, 38.0, 4.0, 15.0, 52.0, 44.0, 4.0, 8.0, 44.0, 34.0, 8.0, 8.0, 48.0, 32.0