Subject, Baseline Sync, Basline Sham, Punishment Sync, Punishment Sham
6, 24.444444444444443, 17.0, 83.0, 85.0
8, 4.0, 2.2222222222222223, 36.0, 40.0
9, 33.333333333333336, 28.88888888888889, 51.111111111111114, 61.0
10, 17.77777777777778, 13.636363636363637, 45.45454545454545, 48.888888888888886
11, 59.0, 61.81818181818182, 52.22222222222222, 64.44444444444444
12, 20.0, 18.181818181818183, 50.0, 50.0
13, 27.0, 17.77777777777778, 71.11111111111111, 75.55555555555556
15, 15.555555555555555, 11.0, 62.22222222222222, 61.0
16, 10.0, 10.0, 72.0, 80.0
19, 90.0, 72.0, 90.0, 89.0
20, 50.0, 50.0, 59.0, 59.0
21, 0.0, 10.0, 33.75, 44.0
23, 12.0, 8.0, 46.0, 40.0