tACS_Sync, tACS_rTPJ, tACS_rDLPFC, Sham
55.26315789473684, 59.0, 52.0, 51.0
20.0, 25.0, 28.0, 23.0
42.22222222222222, 54.21052631578947, 44.73684210526316, 45.78947368421053
33.0, 33.68421052631579, 29.5, 29.5
55.78947368421053, 56.5, 54.11764705882353, 63.0
35.88235294117647, 53.888888888888886, 37.36842105263158, 32.5
47.89473684210526, 52.35294117647059, 55.0, 46.666666666666664
38.888888888888886, 32.63157894736842, 32.10526315789474, 36.0
44.44444444444444, 52.0, 46.25, 66.0
90.0, 86.5, 57.0, 80.5
54.5, 53.1578947368421, 53.333333333333336, 54.5
16.875, 19.5, 24.705882352941178, 27.0
29.0, 28.5, 32.5, 24.0